date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id,ans_azithromycin,ans_fluconazole,ans_minocycline,ans_vancomycin,S/I/R_benzylpenicillin,S/I/R_cefoxitin screen,S/I/R_clindamycin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_inducible clindamycin resistance,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_oxacillin,S/I/R_vancomycin
7/9/2016,dog,crust from skin,skin,GN,pseudomonas,7/14/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,S,S,R,R,,R,R,R,R,,S,,S,S,S,,R,S,,,,S,S,S,11,,,,,,,,,,,,,,,
7/10/2016,dog,urine,urinary tract,GN,stenotrophomonas,7/14/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
7/10/2016,cat,urine,urinary tract,GN,klebsiella,7/14/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,S,,R,+,R,R,R,,I,R,,,,R,R,R,13,,,,,,,,,,,,,,,
11/15/2016,dog,blood,hemoculture,GN,hafnia,11/24/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,,,,R,S,S,14,,,,,,,,,,,,,,,
10/7/2016,dog,urine,urinary tract,GN,klebsiella,10/12/2016,train,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,15,,,,,,,,,,,,,,,
12/22/2016,dog,urine,urinary tract,GN,klebsiella,12/28/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R,R,R,R,,R,R,R,R,,R,-,R,S,R,,I,R,,,,R,R,R,16,,,,,,,,,,,,,,,
8/22/2016,dog,nasal discharge,nasal cavity,GN,escherichia,8/25/2016,train,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,S,,S,S,S,I,,S,-,S,S,S,,S,R,,,,S,S,S,17,,,,,,,,,,,,,,,
9/7/2016,dog,urine,urinary tract,GN,klebsiella,9/16/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,S,,I,+,S,S,S,,S,R,,,,S,S,R,18,,,,,,,,,,,,,,,
10/1/2016,dog,opened wound,wound,GN,aeromonas,10/6/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,R,,S,S,S,S,,S,,S,S,S,,S,S,,,,,S,S,19,,,,,,,,,,,,,,,
10/1/2016,dog,fluid,hemoculture,GN,aeromonas,10/6/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,R,,S,S,S,S,,S,,S,S,S,,S,S,,,,,S,S,20,,,,,,,,,,,,,,,
11/21/2016,dog,urine,urinary tract,GN,escherichia,11/28/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,R,+,R,S,R,,S,R,,,,R,I,R,21,,,,,,,,,,,,,,,
8/1/2016,dog,urine,urinary tract,GN,pseudomonas,8/4/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,I,,I,S,S,,R,S,S,,,R,S,R,22,,,,,,,,,,,,,,,
7/21/2016,dog,urine,urinary tract,GN,escherichia,7/28/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,S,,R,+,R,R,R,,S,R,,,,R,I,R,23,,,,,,,,,,,,,,,
12/6/2016,dog,ub mucosa,urinary tract,GN,pseudomonas,12/15/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,24,,,,,,,,,,,,,,,
8/21/2016,dog,urine,urinary tract,GN,escherichia,8/25/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,S,,S,S,S,S,,R,-,R,S,R,,S,R,,,,R,I,R,25,,,,,,,,,,,,,,,
7/25/2016,cat,urine,urinary tract,GN,escherichia,8/8/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,S,S,S,R,,S,,S,S,S,,R,R,,,,R,S,R,26,,,,,,,,,,,,,,,
8/30/2016,dog,purelent exudate จากแผลข้าง scrotal sac (partial urethral rupture),exudate,GN,pseudomonas,9/5/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,-,I,S,S,,R,S,S,,,R,S,R,27,,,,,,,,,,,,,,,
9/14/2016,dog,urine,urinary tract,GN,pseudomonas,9/21/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,R,-,R,S,R,,R,S,S,,,R,R,R,28,,,,,,,,,,,,,,,
12/23/2016,dog,urine,urinary tract,GN,escherichia,12/29/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,R,,S,S,S,S,,S,-,S,S,S,,S,R,,,,R,S,S,29,,,,,,,,,,,,,,,
7/11/2016,dog,urine,urinary tract,GN,escherichia,7/17/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,S,S,S,R,,I,-,S,S,S,,S,R,S,,,S,S,R,30,,,,,,,,,,,,,,,
7/15/2016,dog,abdominal fluid,abdomen,GN,escherichia,7/24/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,R,-,R,S,R,,I,R,,,,R,I,R,31,,,,,,,,,,,,,,,
8/6/2016,dog,urine,urinary tract,GN,escherichia,8/10/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,I,,R,,S,R,R,,R,R,,,,R,R,R,32,,,,,,,,,,,,,,,
7/12/2016,dog,urine,urinary tract,GN,pseudomonas,7/17/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R,R,R,R,,R,R,R,R,,R,-,R,I,R,,R,R,S,,,R,I,R,33,,,,,,,,,,,,,,,
8/26/2016,cat,urine,urinary tract,GN,escherichia,8/31/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,S,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,34,,,,,,,,,,,,,,,
12/20/2016,dog,urine,urinary tract,GN,escherichia,12/26/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,S,,R,-,S,S,R,,S,R,,,,R,S,R,35,,,,,,,,,,,,,,,
9/19/2016,dog,urine,urinary tract,GN,proteus,9/23/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,R,,S,S,S,R,,R,,R,,R,,R,S,,,,R,I,R,36,,,,,,,,,,,,,,,
10/16/2016,cat,urine,urinary tract,GN,pseudomonas,10/21/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,,S,I,S,,R,S,S,,,R,S,R,37,,,,,,,,,,,,,,,
10/8/2016,dog,opened wound,wound,GN,escherichia,10/13/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,S,S,S,R,,I,-,S,S,S,,S,S,,,,S,S,S,38,,,,,,,,,,,,,,,
10/26/2016,dog,prostate,urogenital system,GN,proteus,10/31/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,S,,S,,S,,S,,R,S,,,,S,S,S,39,,,,,,,,,,,,,,,
10/26/2016,cat,urine,urinary tract,GN,serratia,11/1/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,,R,,S,,S,S,,S,,S,S,S,,R,S,,,,R,S,S,40,,,,,,,,,,,,,,,
11/14/2016,other,opened wound,wound,GN,escherichia,11/16/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,S,S,S,S,,R,-,S,S,R,,S,S,,,,R,S,R,41,,,,,,,,,,,,,,,
8/19/2016,cat,urine,urinary tract,GN,pseudomonas,8/24/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,S,,,R,S,R,42,,,,,,,,,,,,,,,
10/7/2016,dog,pus,skin,GN,escherichia,10/12/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,R,,R,-,R,S,R,,S,R,,,,R,S,R,43,,,,,,,,,,,,,,,
10/27/2016,dog,urine,urinary tract,GN,escherichia,11/2/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,S,,I,+,S,S,S,,S,R,,,,R,S,R,44,,,,,,,,,,,,,,,
12/6/2016,dog,urine,urinary tract,GN,klebsiella,12/9/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R,R,R,R,,R,R,R,R,,R,+,R,S,R,,R,R,,,,R,R,I,45,,,,,,,,,,,,,,,
10/14/2016,dog,urine,urinary tract,GN,escherichia,10/21/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,I,,R,-,S,S,R,,S,R,,,,R,S,S,46,,,,,,,,,,,,,,,
8/30/2016,cat,urine,urinary tract,GN,acinetobacter,9/5/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,S,,I,S,S,S,47,,,,,,,,,,,,,,,
8/30/2016,cat,urine,urinary tract,GN,klebsiella,9/5/2016,train,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,I,R,,,,S,S,S,48,,,,,,,,,,,,,,,
8/19/2016,dog,urine,urinary tract,GN,proteus,8/25/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,S,,S,S,S,R,,R,,R,,R,,R,R,,,,R,I,R,49,,,,,,,,,,,,,,,
8/24/2016,cat,urine,urinary tract,GN,pseudomonas,8/31/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,,I,R,S,,R,S,S,,,R,S,R,50,,,,,,,,,,,,,,,
8/2/2016,dog,ear wax,ear,GN,proteus,8/8/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,S,R,,S,S,S,S,,S,,R,,S,,R,S,,,,R,I,S,51,,,,,,,,,,,,,,,
10/29/2016,dog,opened wound,wound,GN,acinetobacter,11/4/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,S,,S,R,S,R,52,,,,,,,,,,,,,,,
9/18/2016,cat,abdominal fluid,abdomen,GN,enterobacter,9/23/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,,R,,I,S,S,R,,S,,S,S,S,,S,S,,,,R,S,S,53,,,,,,,,,,,,,,,
12/11/2016,dog,urine,urinary tract,GN,escherichia,12/16/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,,S,,S,S,S,S,,R,-,S,S,R,,S,S,,,,S,S,S,54,,,,,,,,,,,,,,,
12/27/2016,dog,ub mucosa,urinary tract,GN,escherichia,12/30/2016,train,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,,R,,S,S,S,S,,R,-,S,S,R,,S,S,,,,S,S,S,55,,,,,,,,,,,,,,,
8/22/2016,dog,urine,urinary tract,GN,proteus,8/25/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,I,R,S,,S,S,S,R,,R,-,R,,R,,R,S,,,,R,I,R,56,,,,,,,,,,,,,,,
8/23/2016,dog,mass,mass,GN,pseudomonas,8/29/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R,R,R,R,,R,R,R,R,,R,-,R,I,R,,R,S,S,,,R,R,R,57,,,,,,,,,,,,,,,
